headtype,S,B,block,kernel,best_splits,median_ms,pct_of_sol,ratio_vs_flashinfer
64x8,32768,1,16,flashinfer,,0.06998399645090103,57.24879324510195,1.0
64x8,32768,1,16,v1,,7.552544116973877,0.5304834081378249,0.009266281052713921
64x8,32768,1,16,v2,64,0.342272013425827,11.705600183848572,0.20446894196935883
64x8,32768,1,64,flashinfer,,0.06841599941253662,58.56085386000262,1.0
64x8,32768,1,64,v1,,7.520127773284912,0.5327701156244422,0.009097717681816917
64x8,32768,1,64,v2,64,0.3437440097332001,11.65547392780244,0.1990318303019689
64x8,32768,32,16,flashinfer,,1.3916800022125244,92.12461110402295,1.0
64x8,32768,32,16,v1,,10.526368141174316,12.179697428934096,0.13220894268070596
64x8,32768,32,16,v2,64,8.362848281860352,15.330659443286493,0.1664122025543837
64x8,32768,32,64,flashinfer,,1.3837759494781494,92.6508218569809,1.0
64x8,32768,32,64,v1,,10.71008014678955,11.970776803524313,0.12920313671909817
64x8,32768,32,64,v2,64,8.358912467956543,15.337877920908161,0.1655449742753956
64x8,32768,8,16,flashinfer,,0.37084800004959106,86.42892705901758,1.0
64x8,32768,8,16,v1,,7.5972161293029785,4.218913112481022,0.04881366986773025
64x8,32768,8,16,v2,64,2.1883199214935303,14.646850504561115,0.1694669944769716
64x8,32768,8,64,flashinfer,,0.37040001153945923,86.53346044200678,1.0
64x8,32768,8,64,v1,,7.625120162963867,4.203474051720401,0.04857628517627
64x8,32768,8,64,v2,64,2.1735680103302,14.74625803928695,0.17041105214057206
64x8,512,128,16,flashinfer,,0.1141119971871376,70.22047535831199,1.0
64x8,512,128,16,v1,,0.577567994594574,13.873688918985058,0.19757326973638653
64x8,512,128,16,v2,4,0.5873600244522095,13.642397086932053,0.19427947500097928
64x8,512,128,64,flashinfer,,0.11398400366306305,70.29932647613961,1.0
64x8,512,128,64,v1,,0.5825600028038025,13.754804051087286,0.19566053816683182
64x8,512,128,64,v2,4,0.588096022605896,13.625323720199614,0.19381869504573707
64x8,512,1,16,flashinfer,,0.023903999477624893,2.6188735611964655,1.0
64x8,512,1,16,v1,,0.07372800260782242,0.8490878638310492,0.32421873144694036
64x8,512,1,16,v2,16,0.025919999927282333,2.41518334932224,0.9222222046561243
